Best First - Query 99: id=103430, x=51.06, y=108.64
Divide and Conquer - Query 99: id=103430, x=51.06, y=108.64
Sequential Scan - Query 100: id=33273, x=48.65, y=91.59
Best First - Query 100: id=33273, x=48.65, y=91.59
Divide and Conquer - Query 100: id=33273, x=48.65, y=91.59
Sequential Scan - Query 101: id=93813, x=68.47, y=135.12
Best First - Query 101: id=93813, x=68.47, y=135.12
Divide and Conquer - Query 101: id=93813, x=68.47, y=135.12
Sequential Scan - Query 102: id=128791, x=67.41, y=134.64
Best First - Query 102: id=128791, x=67.41, y=134.64
Divide and Conquer - Query 102: id=128791, x=67.41, y=134.64
Sequential Scan - Query 103: id=69305, x=49.81, y=152.72
Best First - Query 103: id=69305, x=49.81, y=152.72
Divide and Conquer - Query 103: id=69305, x=49.81, y=152.72
Sequential Scan - Query 104: id=68747, x=34.61, y=97.82
Best First - Query 104: id=68747, x=34.61, y=97.82
Divide and Conquer - Query 104: id=68747, x=34.61, y=97.82
Sequential Scan - Query 105: id=11165, x=55.32, y=113.70
Best First - Query 105: id=11165, x=55.32, y=113.70
Divide and Conquer - Query 105: id=11165, x=55.32, y=113.70
Sequential Scan - Query 106: id=39364, x=17.23, y=142.03
Best First - Query 106: id=39364, x=17.23, y=142.03
Divide and Conquer - Query 106: id=39364, x=17.23, y=142.03
Sequential Scan - Query 107: id=143722, x=4.97, y=93.74
Best First - Query 107: id=143722, x=4.97, y=93.74
Divide and Conquer - Query 107: id=143722, x=4.97, y=93.74
Sequential Scan - Query 108: id=72544, x=4.57, y=106.74
Best First - Query 108: id=72544, x=4.57, y=106.74
Divide and Conquer - Query 108: id=72544, x=4.57, y=106.74
Sequential Scan - Query 109: id=21945, x=61.96, y=80.41
Best First - Query 109: id=21945, x=61.96, y=80.41
Divide and Conquer - Query 109: id=21945, x=61.96, y=80.41
Sequential Scan - Query 110: id=7000, x=30.59, y=126.67
Best First - Query 110: id=7000, x=30.59, y=126.67
Divide and Conquer - Query 110: id=7000, x=30.59, y=126.67
Sequential Scan - Query 111: id=122316, x=75.57, y=114.12
Best First - Query 111: id=122316, x=75.57, y=114.12
Divide and Conquer - Query 111: id=122316, x=75.57, y=114.12
Sequential Scan - Query 112: id=1145, x=32.67, y=149.98
Best First - Query 112: id=1145, x=32.67, y=149.98
Divide and Conquer - Query 112: id=1145, x=32.67, y=149.98
Sequential Scan - Query 113: id=80660, x=55.16, y=156.49
Best First - Query 113: id=80660, x=55.16, y=156.49
Divide and Conquer - Query 113: id=80660, x=55.16, y=156.49
Sequential Scan - Query 114: id=13093, x=22.25, y=93.62
Best First - Query 114: id=13093, x=22.25, y=93.62
Divide and Conquer - Query 114: id=13093, x=22.25, y=93.62
Sequential Scan - Query 115: id=98303, x=3.02, y=133.37
Best First - Query 115: id=98303, x=3.02, y=133.37
Divide and Conquer - Query 115: id=98303, x=3.02, y=133.37
Sequential Scan - Query 116: id=16387, x=25.60, y=113.76
Best First - Query 116: id=16387, x=25.60, y=113.76
Divide and Conquer - Query 116: id=16387, x=25.60, y=113.76
Sequential Scan - Query 117: id=19621, x=45.99, y=117.83
Best First - Query 117: id=19621, x=45.99, y=117.83
Divide and Conquer - Query 117: id=19621, x=45.99, y=117.83
Sequential Scan - Query 118: id=30007, x=7.73, y=151.28
Best First - Query 118: id=30007, x=7.73, y=151.28
Divide and Conquer - Query 118: id=30007, x=7.73, y=151.28
Sequential Scan - Query 119: id=19578, x=74.47, y=123.50
Best First - Query 119: id=19578, x=74.47, y=123.50
Divide and Conquer - Query 119: id=19578, x=74.47, y=123.50
Sequential Scan - Query 120: id=17215, x=33.87, y=84.83
Best First - Query 120: id=17215, x=33.87, y=84.83
Divide and Conquer - Query 120: id=17215, x=33.87, y=84.83
Sequential Scan - Query 121: id=55812, x=84.80, y=92.70
Best First - Query 121: id=55812, x=84.80, y=92.70
Divide and Conquer - Query 121: id=55812, x=84.80, y=92.70
Sequential Scan - Query 122: id=34291, x=44.65, y=157.67
Best First - Query 122: id=34291, x=44.65, y=157.67
Divide and Conquer - Query 122: id=34291, x=44.65, y=157.67
Sequential Scan - Query 123: id=70846, x=36.30, y=98.63
Best First - Query 123: id=70846, x=36.30, y=98.63
Divide and Conquer - Query 123: id=70846, x=36.30, y=98.63
Sequential Scan - Query 124: id=91090, x=55.20, y=137.38
Best First - Query 124: id=91090, x=55.20, y=137.38
Divide and Conquer - Query 124: id=91090, x=55.20, y=137.38
Sequential Scan - Query 125: id=130767, x=50.13, y=151.68
Best First - Query 125: id=130767, x=50.13, y=151.68
Divide and Conquer - Query 125: id=130767, x=50.13, y=151.68
Sequential Scan - Query 126: id=26306, x=35.61, y=137.04
Best First - Query 126: id=26306, x=35.61, y=137.04
Divide and Conquer - Query 126: id=26306, x=35.61, y=137.04
Sequential Scan - Query 127: id=53552, x=0.10, y=96.33
Best First - Query 127: id=53552, x=0.10, y=96.33
Divide and Conquer - Query 127: id=53552, x=0.10, y=96.33
Sequential Scan - Query 128: id=127385, x=19.11, y=87.75
Best First - Query 128: id=127385, x=19.11, y=87.75
Divide and Conquer - Query 128: id=127385, x=19.11, y=87.75
Sequential Scan - Query 129: id=148587, x=32.87, y=93.76
Best First - Query 129: id=148587, x=32.87, y=93.76
Divide and Conquer - Query 129: id=148587, x=32.87, y=93.76
Sequential Scan - Query 130: id=87446, x=67.44, y=124.18
Best First - Query 130: id=87446, x=67.44, y=124.18
Divide and Conquer - Query 130: id=87446, x=67.44, y=124.18
Sequential Scan - Query 131: id=104634, x=53.03, y=97.29
Best First - Query 131: id=104634, x=53.03, y=97.29
Divide and Conquer - Query 131: id=104634, x=53.03, y=97.29
Sequential Scan - Query 132: id=77746, x=7.47, y=105.83
Best First - Query 132: id=77746, x=7.47, y=105.83
Divide and Conquer - Query 132: id=77746, x=7.47, y=105.83
Sequential Scan - Query 133: id=54360, x=23.08, y=117.65
Best First - Query 133: id=54360, x=23.08, y=117.65
Divide and Conquer - Query 133: id=54360, x=23.08, y=117.65
Sequential Scan - Query 134: id=119836, x=20.69, y=97.49
Best First - Query 134: id=119836, x=20.69, y=97.49
Divide and Conquer - Query 134: id=119836, x=20.69, y=97.49
Sequential Scan - Query 135: id=35796, x=63.19, y=148.02
Best First - Query 135: id=35796, x=63.19, y=148.02
Divide and Conquer - Query 135: id=35796, x=63.19, y=148.02
Sequential Scan - Query 136: id=110918, x=65.30, y=88.04
Best First - Query 136: id=110918, x=65.30, y=88.04
Divide and Conquer - Query 136: id=110918, x=65.30, y=88.04
